PROVIDER_NUMBER,PROGRAM_NAME,PROGRAM_UMBRELLA,PROGRAM_STREET_ADDRESS1,PROGRAM_STREET_ADDRESS2,PROGRAM_CITY,PROGRAM_ZIPCODE,PROGRAM_PHONE,LICENSING_REGION,SUBSIDY_REGION,PROGRAM_TYPE,LICENSED_FUNDED,LICENSED_PROVIDER_STATUS,FUNDED_PROVIDER_STATUS,REGULATORY_STATUS,FIRST_ISSUED_DATE,LICENSED_CAPACITY,INFANT_BIRTH15MO,INFANTTODDLER_BIRTH33MO,TODDLER_15MO33MO,TODDLERPRESCHOOL_15MOK,PRESCHOOL_33MOK,PRESCHOOLSA_33MO8YR,KINDERGARTEN,KINDERGARTEN_SCHOOLAGE,SCHOOLAGE_5YR14YR,MULTIAGEGROUP_BIRTH14YR,VOUCHER_CONTRACT,C3_ATTESTATION,COI_CAT,SNAPSHOT_DATE,FULL_ADDRESS,Latitude,Longitude,SERVES_PREK,SERVES_ELEM,SERVES_MIDDLE,QUALITY_LICENSED,QUALITY_VOUCHER,QUALITY_C3,BAND_LABEL,CAP_CAT
P-169592,Grove Hall Child Development Center,"Grove Hall Child Development Center, Inc.",1295 BLUE HILL AVE,,Mattapan,02126,(617) 298-8190,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1988-01-19,45,7.0,9.0,9.0,,20.0,,,,,,True,,Low,2026-03-03,"1295 BLUE HILL AVE, Mattapan, MA 02126",42.280897078101,-71.092745156237,True,False,False,True,True,False,Pre-K only,M
P-169700,Soldiers Field Park Children's Center,Campus Child Care Inc.,1 SOLDIERS FIELD PARK,,Boston,02163,(617) 870-7601,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1981-10-07,84,14.0,7.0,27.0,,36.0,,,,,,True,,Low,2026-03-03,"1 SOLDIERS FIELD PARK, Boston, MA 02163",42.36577068921,-71.1181520109,True,False,False,True,True,False,Pre-K only,L
P-169703,Allston Brighton St. Gabriel's Head Start,"Action For Boston Community Development, Inc./ABCD",478 Western Avenue,,Brighton,02135,(617) 783-5646,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1985-07-07,76,,16.0,,,60.0,,,,,,True,,Low,2026-03-03,"478 Western Avenue, Brighton, MA 02135",42.361959148532,-71.142927974393,True,False,False,True,True,False,Pre-K only,M
P-169705,Beacon Hill Nursery School,"Beacon Hill Nursery School, Inc.",74 JOY STREET,,Boston,02114,(617) 227-0822,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-08-22,99,,,9.0,,90.0,,,,,,False,,High,2026-03-03,"74 JOY STREET, Boston, MA 02114",42.360650585361,-71.065199810306,True,False,False,True,False,False,Pre-K only,L
P-169706,Boston Children's School,"Boston Children's School, Inc.",8 WHITTIER PLACE 1E,,Boston,02114,(617) 367-6239,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1980-06-18,44,,,,,,44.0,,,,,False,,Moderate,2026-03-03,"8 WHITTIER PLACE 1E, Boston, MA 02114",42.365647883734,-71.067406172702,True,True,False,False,False,False,Pre-K and Elementary,M
P-169707,Acorn Center for Early Education /Care,Boston Chinatown Neighborhood Center,38 ASH STREET,,Boston,02111,(617) 249-2995,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1988-06-26,101,,,9.0,,92.0,,,,,,True,,Low,2026-03-03,"38 ASH STREET, Boston, MA 02111",42.348694709374,-71.063415575337,True,False,False,True,True,False,Pre-K only,L
P-169709,Cooper Community Child Development Center,Hattie B. Cooper Community Center Inc.,1891 WASHINGTON STREET,,Boston,02118,(617) 445-1813,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1991-08-06,111,7.0,,18.0,,40.0,,20.0,,26.0,,True,,Very Low,2026-03-03,"1891 WASHINGTON STREET, Boston, MA 02118",42.335061134844,-71.078936432073,True,True,True,False,True,False,Elementary and Middle,L
P-169712,Infants and Other People,"Infants and Other People, Inc.",464 TREMONT STREET,,Boston,02116,(617) 482-9464,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1994-12-11,52,14.0,,18.0,,20.0,,,,,,True,,Low,2026-03-03,"464 TREMONT STREET, Boston, MA 02116",42.346185290618,-71.069259982712,True,False,False,False,True,False,Pre-K only,M
P-169713,Longwood Medical Area Child Care Center,Longwood Medical Area Child Care Center Corporation,395 LONGWOOD AVENUE,,Boston,02215,(617) 632-2755,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1984-01-09,88,14.0,9.0,,27.0,38.0,,,,,,True,,Moderate,2026-03-03,"395 LONGWOOD AVENUE, Boston, MA 02215",42.340139378777,-71.109263905574,True,False,False,True,True,False,Pre-K only,L
P-169714,ABCD Head Start and Children's Services @ Harrison Ave.,"Action For Boston Community Development, Inc./ABCD",595 Harrison Avenue,,Boston,02118,(617) 426-2855,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1990-04-07,200,,32.0,,,168.0,,,,,,True,,Low,2026-03-03,"595 Harrison Avenue, Boston, MA 02118",42.339872767504,-71.069100903554,True,False,False,True,True,False,Pre-K only,XL
P-169715,Russell J. Call Children's Center,Northeastern University,96 Fenway,Kerr Hall.   Ward 04,Boston,02115,(617) 373-3929,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-12-20,34,,,,,34.0,,,,,,False,,Very Low,2026-03-03,"96 Fenway, Boston, MA 02115",42.342184868669,-71.091491564081,True,False,False,True,False,False,Pre-K only,S
P-169716,Old South Preschool,Old South Church in Boston,645 BOYLSTON STREET,,Boston,02116,(617) 536-1970,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1993-12-05,45,,,9.0,,36.0,,,,,,False,,Very High,2026-03-03,"645 BOYLSTON STREET, Boston, MA 02116",42.349899584972,-71.078264687765,True,False,False,True,False,False,Pre-K only,M
P-169718,United South End Settlements Child Development Program,United South End Settlements,48 RUTLAND STREET,,Boston,02118,(617) 375-8150,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1989-03-29,126,7.0,9.0,9.0,9.0,30.0,,,,62.0,,True,,High,2026-03-03,"48 RUTLAND STREET, Boston, MA 02118",42.339752168927,-71.075988592466,True,True,True,True,True,False,Elementary and Middle,L
P-169719,John Winthrop School,John Winthrop Nursery School Corp.,66 MARLBOROUGH STREET,,Boston,02116,(617) 267-7159,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-09-21,56,,,18.0,,38.0,,,,,,False,,Very High,2026-03-03,"66 MARLBOROUGH STREET, Boston, MA 02116",42.353793562721,-71.075000407056,True,False,False,True,False,False,Pre-K only,M
P-169720,Commonwealth Children's Center,Commonwealth Child Care Corporation,One Ashburton Place  Room 105A,,Boston,02108,(617) 727-4802,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1982-12-24,55,,17.0,,18.0,20.0,,,,,,True,,Moderate,2026-03-03,"One Ashburton Place  Room 105A, Boston, MA 02108",42.359258208898,-71.062781502779,True,False,False,True,True,False,Pre-K only,M
P-169725,East Boston Head Start St. Johns,"Action For Boston Community Development, Inc./ABCD",80 LEXINGTON STREET,,East Boston,02128,(617) 567-8855,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1981-06-01,109,,,,,109.0,,,,,,True,,Very Low,2026-03-03,"80 LEXINGTON STREET, East Boston, MA 02128",42.378008484904,-71.036910552993,True,False,False,True,True,False,Pre-K only,L
P-169727,Jeffries Point Child Care,"East Boston Social Centers, Inc.",425 SUMNER STREET,,East Boston,02128,(617) 569-6045,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1989-05-21,40,,,8.0,,32.0,,,,,,True,,Low,2026-03-03,"425 SUMNER STREET, East Boston, MA 02128",42.365594035483,-71.032356349873,True,False,False,False,True,False,Pre-K only,M
P-169728,Little Folks Community Day Care Center,Little Folks Community Day Care Center Inc.,65 TRENTON STREET,,East Boston,02128,(617) 569-0294,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1989-01-17,58,,,,18.0,40.0,,,,,,True,,Very Low,2026-03-03,"65 TRENTON STREET, East Boston, MA 02128",42.378648337236,-71.036923065866,True,False,False,False,True,False,Pre-K only,M
P-169733,Small World Childcare Center,"Jamaica Plain VAMC Child Care Center, Inc.",150 S HUNTINGTON AVE BLDG 9,,Jamaica Plain,02130-4817,(617) 232-8286,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1983-08-10,50,7.0,9.0,9.0,8.0,17.0,,,,,,True,,High,2026-03-03,"150 S HUNTINGTON AVE BLDG 9, Jamaica Plain, MA 02130-4817",42.327442814116,-71.11090291686,True,False,False,True,True,False,Pre-K only,M
P-169849,Rockwood Early Education Academy Inc.,"Rockwood Day Care Center, Inc.",995 BLUE HILL AVENUE,,Dorchester,02124,(617) 825-4649,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1986-03-01,88,,,18.0,10.0,60.0,,,,,,True,,Very Low,2026-03-03,"995 BLUE HILL AVENUE, Dorchester, MA 02124",42.290384019369,-71.089568913848,True,False,False,False,True,False,Pre-K only,L
P-169854,Children's Learning Center,Salvation Army - Canton,26 WALES STREET,,Dorchester,02124,(617) 436-2480,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1988-07-17,51,,9.0,,9.0,20.0,,,,13.0,,True,,Very Low,2026-03-03,"26 WALES STREET, Dorchester, MA 02124",42.297483176476,-71.084888265258,True,True,True,False,True,False,Elementary and Middle,M
P-169855,Yawkey Konbit Kreyol Center,Catholic Charitable Bureau of Boston,185 COLUMBIA ROAD,,Dorchester,02121,(617) 506-6645,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1982-12-01,101,14.0,,27.0,,60.0,,,,,,True,,Very Low,2026-03-03,"185 COLUMBIA ROAD, Dorchester, MA 02121",42.306230249734,-71.077606232781,True,False,False,True,True,False,Pre-K only,L
P-169858,Wesley Education Center,Wesley Child Care Center Inc.,29 STANTON STREET,,Dorchester,02124,(617) 436-5800,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1980-03-12,73,,,,,60.0,,,,13.0,,True,,Very Low,2026-03-03,"29 STANTON STREET, Dorchester, MA 02124",42.284185239342,-71.079533911095,True,True,True,True,True,False,Elementary and Middle,M
P-169860,Gertrude E. Townsend Dorchester Headstart,"Action For Boston Community Development, Inc./ABCD",198 GENEVA AVE,,Dorchester,02121-3860,(617) 929-6315,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-08-17,298,,,,,298.0,,,,,,True,,Very Low,2026-03-03,"198 GENEVA AVE, Dorchester, MA 02121-3860",42.305226525591,-71.076683956826,True,False,False,True,True,False,Pre-K only,XL
P-169862,Boys and Girls Clubs Of Dorchester,Boys and Girls Club of Dorchester Inc,35 DEER STREET,,Dorchester,02125,(617) 288-7120,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1983-10-21,36,,,,,,,,,36.0,,True,,Low,2026-03-03,"35 DEER STREET, Dorchester, MA 02125",42.31206897964,-71.058339211129,False,True,True,True,True,False,Elementary and Middle,S
P-169863,Crispus Attucks Children's Center,The Crispus Attucks Children's Center Incorporated,105 CRAWFORD STREET,,Dorchester,02121,(617) 445-1420,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1991-04-02,214,14.0,23.0,27.0,,150.0,,,,,,True,,Low,2026-03-03,"105 CRAWFORD STREET, Dorchester, MA 02121",42.314158753191,-71.091031644019,True,False,False,True,True,False,Pre-K only,XL
P-169864,Ashmont Nursery School,"Ashmont Nursery School, Inc.",1 Ashmont St,,Boston,02124,(617) 282-6063,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1993-09-17,19,,,,9.0,,10.0,,,,,False,,Very Low,2026-03-03,"1 Ashmont St, Boston, MA 02124",42.285286992741,-71.07110535886,True,True,False,True,False,False,Pre-K and Elementary,S
P-169868,Shattuck Child Care Center,"Shattuck Child Care Center, Inc.",633 CENTRE STREET,,Jamaica Plain,02130,(617) 942-2018,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1988-09-25,46,,,9.0,,37.0,,,,,,True,,Very High,2026-03-03,"633 CENTRE STREET, Jamaica Plain, MA 02130",42.313782789512,-71.114175194411,True,False,False,True,True,False,Pre-K only,M
P-169872,Nurtury Learning Lab,"Nurtury, Inc.",33 BICKFORD STREET,,Jamaica Plain,02130,(617) 477-3115,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1988-08-22,134,14.0,13.0,9.0,18.0,80.0,,,,,,True,,Very Low,2026-03-03,"33 BICKFORD STREET, Jamaica Plain, MA 02130",42.323372707526,-71.102380076417,True,False,False,False,True,False,Pre-K only,L
P-169874,South Side Head Start,"Action For Boston Community Development, Inc./ABCD",19 CORINTH STREET,,Roslindale,02131,(617) 327-1152,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1990-02-05,80,,,,,80.0,,,,,,True,,Low,2026-03-03,"19 CORINTH STREET, Roslindale, MA 02131",42.28632607582,-71.130127372021,True,False,False,True,True,False,Pre-K only,L
P-169881,Nurtury Inc. @ Horadan Way,"Nurtury, Inc.",38 HORADAN WAY,,Roxbury,02120,(857) 675-0130,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1989-05-09,126,9.0,9.0,18.0,,90.0,,,,,,True,,Very Low,2026-03-03,"38 HORADAN WAY, Roxbury, MA 02120",42.334392604909,-71.098699431756,True,False,False,True,True,False,Pre-K only,L
P-169882,South Boston H.S./EHS @ Old Colony,"Action For Boston Community Development, Inc./ABCD",125 MERCER STREET,,South Boston,02127,(617) 464-1557,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-08-16,49,,9.0,,,40.0,,,,,,True,,Low,2026-03-03,"125 MERCER STREET, South Boston, MA 02127",42.330595103908,-71.050152816464,True,False,False,True,True,False,Pre-K only,M
P-169883,South Boston Neighborhood House Preschool,South Boston Neighborhood House Inc,1187 Columbia Rd,,South Boston,02127,(617) 269-4090,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1986-02-28,45,,,,,45.0,,,,,,True,,Moderate,2026-03-03,"1187 Columbia Rd, South Boston, MA 02127",42.330442017504,-71.043042837375,True,False,False,True,True,False,Pre-K only,M
P-169885,Laboure Center,Catholic Charitable Bureau of Boston,275 W BROADWAY,,South Boston,02127,(617) 464-8532,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1988-11-01,99,21.0,9.0,18.0,,51.0,,,,,,True,,Very Low,2026-03-03,"275 W BROADWAY, South Boston, MA 02127",42.339258550517,-71.051642835114,True,False,False,True,True,False,Pre-K only,L
P-170123,ABCD Walnut Grove Head Start,"Action For Boston Community Development, Inc./ABCD",22 ELM HILL AVENUE,,Dorchester,02121,(617) 445-8202,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1989-12-30,118,4.0,,14.0,,100.0,,,,,,True,,Very Low,2026-03-03,"22 ELM HILL AVENUE, Dorchester, MA 02121",42.312532200864,-71.084265890824,True,False,False,True,True,False,Pre-K only,L
P-170124,Village Preschool,Village Preschool Inc.,25-39,25 CUMMINS HIGHWAY,Roslindale,02131,(617) 323-5141,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1983-09-28,71,7.0,9.0,9.0,,46.0,,,,,,True,,Low,2026-03-03,"25-39, Roslindale, MA 02131",42.285781837799,-71.127211596437,True,False,False,True,True,False,Pre-K only,M
P-170133,Bright Horizons Childrens Center at the Schraffts,"Bright Horizons Childrenâs Centers, LLC",529 MAIN STREET,,Charlestown,02129,(617) 241-8752,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-07-30,68,14.0,9.0,18.0,,27.0,,,,,,True,,High,2026-03-03,"529 MAIN STREET, Charlestown, MA 02129",42.383556210374,-71.071822278313,True,False,False,True,True,False,Pre-K only,M
P-170142,Little People's Playhouse,Michele and Steven Bingham,5274 Washington St.,,West Roxbury,02132,(617) 435-8162,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-05-12,37,,,,,37.0,,,,,,True,,Very Low,2026-03-03,"5274 Washington St., West Roxbury, MA 02132",42.25906159318,-71.159542001412,True,False,False,True,True,False,Pre-K only,S
P-170143,Little Leaders Prep School,Little Leaders Prep School,242 WOODROW AVE,,Dorchester,02124,(617) 265-6361,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1983-08-02,18,,9.0,,9.0,,,,,,,True,,Very Low,2026-03-03,"242 WOODROW AVE, Dorchester, MA 02124",42.286042178622,-71.088810780274,True,False,False,True,True,False,Pre-K only,S
P-170145,New Beginnings Academy,New Beginnings Academy,20 CENTRAL AVENUE,,Hyde Park,02136,(617) 364-6767,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1997-06-02,95,,,18.0,9.0,68.0,,,,,,True,,Very Low,2026-03-03,"20 CENTRAL AVENUE, Hyde Park, MA 02136",42.256930414715,-71.121215331744,True,False,False,False,True,False,Pre-K only,L
P-170162,Bright Horizons Children's Center at the Prudential Center,"Bright Horizons Childrenâs Centers, LLC",790 BOYLSTON ST STE 250,,Boston,02199,(617) 262-4850,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-08-05,50,7.0,7.0,18.0,,18.0,,,,,,True,,High,2026-03-03,"790 BOYLSTON ST STE 250, Boston, MA 02199",42.348794006891,-71.081973746342,True,False,False,True,True,False,Pre-K only,M
P-170163,Transportation Children's Center Inc.,Transportation Children's Center Inc.,10 PARK PLAZA STE 3330,,Boston,02116,(617) 973-8200,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1986-06-19,78,14.0,9.0,9.0,13.0,33.0,,,,,,True,,Low,2026-03-03,"10 PARK PLAZA STE 3330, Boston, MA 02116",42.351633633151,-71.068371010588,True,False,False,True,True,False,Pre-K only,M
P-170164,J.F.K. Head Start and Day Care Program,John F. Kennedy Family Services,23A MOULTON STREET,,Charlestown,02129,(617) 241-8866,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1988-08-22,151,,,17.0,,114.0,20.0,,,,,True,,Low,2026-03-03,"23A MOULTON STREET, Charlestown, MA 02129",42.37720333097,-71.055868425368,True,True,False,True,True,False,Pre-K and Elementary,XL
P-170304,Bradshaw Children's Learning Program,"Action For Boston Community Development, Inc./ABCD",64 BRADSHAW ST,,Dorchester,02121-4146,(617) 282-2327,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1991-09-07,79,,,8.0,,71.0,,,,,,True,,Very Low,2026-03-03,"64 BRADSHAW ST, Dorchester, MA 02121-4146",42.298132151747,-71.083845331594,True,False,False,True,True,False,Pre-K only,M
P-170311,Government Center Child Care,Government Center Child Care Corporation,15 NEW SUDBURY STREET,JFK FEDERAL BUILDING,Boston,02203,(508) 578-2530,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1987-08-16,50,7.0,,13.0,,30.0,,,,,,False,,Moderate,2026-03-03,"15 NEW SUDBURY STREET, Boston, MA 02203",42.36135067329,-71.060612050403,True,False,False,True,False,False,Pre-K only,M
P-170312,Government Center Child Care Corporation,Government Center Child Care Corporation,O'Neil Federal Bldg,10 CAUSEWAY STREET,Boston,02222,(617) 227-0308,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1987-08-16,40,7.0,,13.0,,20.0,,,,,,True,,Moderate,2026-03-03,"O'Neil Federal Bldg, Boston, MA 02222",42.364669851259,-71.06284819836,True,False,False,False,True,False,Pre-K only,M
P-170325,Tarttâs Nursery School,Tartt's Day Care Center & Private Kindergarten Inc.,56 Wareham Street,,Boston,02118,(857) 214-4500,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1989-08-17,68,7.0,12.0,24.0,6.0,19.0,,,,,,False,,Low,2026-03-03,"56 Wareham Street, Boston, MA 02118",42.339207241147,-71.06726843118,True,False,False,False,False,False,Pre-K only,M
P-170333,City Hall Child Care,Boston Centers for Youth & Families,1 CITY HALL PLAZA RM 401,,Boston,02201,(617) 635-3793,Metro Boston,Region 6,Center-based Care,Licensed,Expired,,,1989-09-22,54,17.0,,12.0,,25.0,,,,,,True,,Moderate,2026-03-03,"1 CITY HALL PLAZA RM 401, Boston, MA 02201",42.357789875411,-71.059193787461,True,False,False,False,True,False,Pre-K only,M
P-170339,Mattapan Head Start,"Action For Boston Community Development, Inc./ABCD",535 RIVER STREET,,Mattapan,02126,(617) 298-1785,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1989-09-26,116,,16.0,,,100.0,,,,,,True,,Very Low,2026-03-03,"535 RIVER STREET, Mattapan, MA 02126",42.266851842222,-71.095726080334,True,False,False,True,True,False,Pre-K only,L
P-170342,Bright Horizons Children's Center,"Bright Horizons Childrenâs Centers, LLC",185 HARRISON AVE,,Boston,02111,(617) 636-9504,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1989-09-22,52,14.0,,18.0,,20.0,,,,,,True,,Low,2026-03-03,"185 HARRISON AVE, Boston, MA 02111",42.348865079889,-71.062304447626,True,False,False,True,True,False,Pre-K only,M
P-170344,YMCA Children's Center and O.S.T. of Roxbury,YMCA of Greater Boston,285 MARTIN LUTHER KING BLVD,,Roxbury,02119,(857) 283-4782,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1989-10-30,140,,,,9.0,40.0,,,,91.0,,True,,Low,2026-03-03,"285 MARTIN LUTHER KING BLVD, Roxbury, MA 02119",42.318506302809,-71.084399274255,True,True,True,False,True,False,Elementary and Middle,L
P-170355,Kinder Care Learning Center,"KinderCare Education, LLC",117 ATLANTIC AVENUE,,Boston,02110,(617) 248-9775,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1990-04-30,51,14.0,9.0,9.0,9.0,10.0,,,,,,True,,High,2026-03-03,"117 ATLANTIC AVENUE, Boston, MA 02110",42.361634452794,-71.052141920953,True,False,False,False,True,False,Pre-K only,M
P-170368,Yal-Day-New Day Care Center,"Yal-Day-New Day Care Center, Inc.",300 Western Avenue,,Allston,02134,(617) 782-3661,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1990-08-31,51,14.0,,18.0,,19.0,,,,,,False,,High,2026-03-03,"300 Western Avenue, Allston, MA 02134",42.36319718456,-71.134774105841,True,False,False,True,False,False,Pre-K only,M
P-170384,Ellis Memorial Early Education and Care Program,"Ellis Memorial and Eldredge House, Inc.",58 BERKELEY ST,,Boston,02116-6215,(617) 482-7341,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1990-11-23,117,21.0,9.0,27.0,,60.0,,,,,,True,,Very High,2026-03-03,"58 BERKELEY ST, Boston, MA 02116-6215",42.346460062592,-71.070798416608,True,False,False,False,True,False,Pre-K only,L
P-170388,Ohrenberger Community Preschool and After School,Ohrenberger Community School Council Inc. BCS Board Inc.,175 W BOUNDARY RD,,West Roxbury,02132,(617) 635-5183,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1992-02-27,26,,,,,,,,,26.0,,True,,Very Low,2026-03-03,"175 W BOUNDARY RD, West Roxbury, MA 02132",42.260920729416,-71.147038624436,False,True,True,True,True,False,Elementary and Middle,S
P-170393,Jackie Jenkins Scott Learning Center,Dimock Community Services Corp,1800 Columbus Avenue,,Roxbury,02119,(617) 442-8800,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1992-05-20,248,28.0,8.0,112.0,,100.0,,,,,,True,,Very Low,2026-03-03,"1800 Columbus Avenue, Roxbury, MA 02119",42.320554518656,-71.098232458449,True,False,False,False,True,False,Pre-K only,XL
P-170407,The Children's Place at Sixty State Street INC.,"Bright Horizons Childrenâs Centers, LLC",60 STATE STREET,,Boston,02109,(617) 742-4566,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1992-03-06,29,,9.0,,,,20.0,,,,,False,,Moderate,2026-03-03,"60 STATE STREET, Boston, MA 02109",42.358960510639,-71.056701582225,True,True,False,True,False,False,Pre-K and Elementary,S
P-170459,Jamaica Plain Head Start,"Action For Boston Community Development, Inc./ABCD",315 (Rear) Centre Street,,Jamaica Plain,02130,(617) 522-5533,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1994-03-22,149,,9.0,,,140.0,,,,,,True,,Low,2026-03-03,"315 (Rear) Centre Street, Jamaica Plain, MA 02130",42.322841805789,-71.104314710359,True,False,False,True,True,False,Pre-K only,L
P-170508,Learn and Play Day Care Center,"Learn and Play, Inc.",1073 TREMONT STREET,,Roxbury,02120,(617) 442-1162,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1996-02-23,38,,,18.0,,15.0,,5.0,,,,True,,Very Low,2026-03-03,"1073 TREMONT STREET, Roxbury, MA 02120",42.336098704458,-71.086372983156,True,True,False,False,True,False,Pre-K and Elementary,S
P-170534,Julie's Family Learning Program,Julie's Family Learning Program Inc.,133 DORCHESTER STREET,,South Boston,02127,(617) 642-2274,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1991-01-01,36,7.0,,9.0,,20.0,,,,,,True,,Very High,2026-03-03,"133 DORCHESTER STREET, South Boston, MA 02127",42.334801752115,-71.047219691152,True,False,False,False,True,False,Pre-K only,S
P-170540,The Frances Jacobson Early Childhood Center,"Frances Jacobson Early Childhood Center, Inc.",477 LONGWOOD AVENUE,,Boston,02215,(617) 739-6455,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1994-09-09,98,,,18.0,,80.0,,,,,,False,,Moderate,2026-03-03,"477 LONGWOOD AVENUE, Boston, MA 02215",42.340310104601,-71.109681976461,True,False,False,False,False,False,Pre-K only,L
P-170542,Oh Yes Orient Heights Young Explorers,"East Boston Social Centers, Inc.",1222 Bennington St.,,East Boston,02128,(617) 561-0010,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1992-07-29,60,,,,,60.0,,,,,,True,,Low,2026-03-03,"1222 Bennington St., East Boston, MA 02128",42.388761815323,-70.998949131864,True,False,False,False,True,False,Pre-K only,M
P-170547,The Social Sprouts Extended Day Program/Central Square Center,"East Boston Social Centers, Inc.",68 CENTRAL SQ,,East Boston,02128,(617) 569-3221,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1993-02-17,179,,,,,20.0,,,,159.0,,True,,Very Low,2026-03-03,"68 CENTRAL SQ, East Boston, MA 02128",42.374581234087,-71.039821143124,True,True,True,False,True,False,Elementary and Middle,XL
