PROVIDER_NUMBER,PROGRAM_NAME,PROGRAM_UMBRELLA,PROGRAM_STREET_ADDRESS1,PROGRAM_STREET_ADDRESS2,PROGRAM_CITY,PROGRAM_ZIPCODE,PROGRAM_PHONE,LICENSING_REGION,SUBSIDY_REGION,PROGRAM_TYPE,LICENSED_FUNDED,LICENSED_PROVIDER_STATUS,FUNDED_PROVIDER_STATUS,REGULATORY_STATUS,FIRST_ISSUED_DATE,LICENSED_CAPACITY,INFANT_BIRTH15MO,INFANTTODDLER_BIRTH33MO,TODDLER_15MO33MO,TODDLERPRESCHOOL_15MOK,PRESCHOOL_33MOK,PRESCHOOLSA_33MO8YR,KINDERGARTEN,KINDERGARTEN_SCHOOLAGE,SCHOOLAGE_5YR14YR,MULTIAGEGROUP_BIRTH14YR,VOUCHER_CONTRACT,C3_ATTESTATION,COI_CAT,SNAPSHOT_DATE,FULL_ADDRESS,Latitude,Longitude,SERVES_PREK,SERVES_ELEM,SERVES_MIDDLE,QUALITY_LICENSED,QUALITY_VOUCHER,QUALITY_C3,BAND_LABEL,CAP_CAT
P-170597,YMCA Childrens Center at West Roxbury,YMCA of Greater Boston,1980 CENTRE STREET,,West Roxbury,02132,(617) 992-6726,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1995-09-08,100,14.0,,18.0,9.0,59.0,,,,,,True,,High,2026-03-03,"1980 CENTRE STREET, West Roxbury, MA 02132",42.282633472503,-71.157339634456,True,False,False,True,True,False,Pre-K only,L
P-170603,Spruce Street Nursery School,Spruce Street Nursery School Inc.,5 Avery Place,,Boston,02111,(617) 482-5252,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1996-09-23,49,,,9.0,,40.0,,,,,,False,,Moderate,2026-03-03,"5 Avery Place, Boston, MA 02111",42.353337623716,-71.062610957207,True,False,False,True,False,False,Pre-K only,M
P-170749,Shining Star Day Care,Little Folks Community Day Care Center Inc.,80 BORDER STREET,,East Boston,02128,(617) 567-0047,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1996-09-17,36,7.0,,9.0,,20.0,,,,,,True,,Very Low,2026-03-03,"80 BORDER STREET, East Boston, MA 02128",42.375412023561,-71.03983133418,True,False,False,True,True,False,Pre-K only,S
P-170783,Little People's Playhouse Preschool & OST Program,Michele and Steven Bingham,32 SOUTH FAIRVIEW STREET,,Roslindale,02131,(617) 323-2566,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1998-12-31,126,,,34.0,,72.0,,,,20.0,,True,,Moderate,2026-03-03,"32 SOUTH FAIRVIEW STREET, Roslindale, MA 02131",42.287299944915,-71.132622343254,True,True,True,False,True,False,Elementary and Middle,L
P-170796,"Park Street Kids, Inc.","Park Street Kids, Inc.",1 PARK STREET,,Boston,02108,(617) 523-4477,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2000-09-12,108,,,,18.0,90.0,,,,,,False,,Moderate,2026-03-03,"1 PARK STREET, Boston, MA 02108",42.356619222819,-71.06195013344,True,False,False,True,False,False,Pre-K only,L
P-170802,YMCA OF GREATER BOSTON CHILDREN'S CENTER AT BREMEN STREET,YMCA of Greater Boston,215 BREMEN STREET,,East Boston,02128,(617) 569-9622,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1999-05-19,93,,,9.0,9.0,75.0,,,,,,True,,Very Low,2026-03-03,"215 BREMEN STREET, East Boston, MA 02128",42.372996739236,-71.034012294007,True,False,False,True,True,False,Pre-K only,L
P-170822,South Boston Head Start @ West Broadway,"Action For Boston Community Development, Inc./ABCD",424 WEST BROADWAY,,South Boston,02127,(617) 269-5160,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1999-10-28,60,,,,,60.0,,,,,,True,,Very High,2026-03-03,"424 WEST BROADWAY, South Boston, MA 02127",42.336691476455,-71.047458049734,True,False,False,True,True,False,Pre-K only,M
P-170825,Kid's First Daycare and Learning Center Inc.,"Kid's First Daycare and Learning Center, Inc.",1190 ADAMS STREET,,Dorchester,02124,(617) 296-9061,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2000-02-01,20,,,,,20.0,,,,,,True,,Low,2026-03-03,"1190 ADAMS STREET, Dorchester, MA 02124",42.272198042081,-71.067434090015,True,False,False,True,True,False,Pre-K only,S
P-170973,Bright Horizons Family Center at Landmark,"Bright Horizons Childrenâs Centers, LLC","401 PARK DRIVE, SUITE 1-110",,Boston,02215,(617) 450-0790,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2000-10-20,88,21.0,,27.0,,40.0,,,,,,True,,High,2026-03-03,"401 PARK DRIVE, SUITE 1-110, Boston, MA 02215",42.345767530917,-71.10457684563,True,False,False,True,True,False,Pre-K only,L
P-170975,The Paul R. McLaughlin Center,Boys and Girls Club of Dorchester Inc,1135 DORCHESTER AVE,,Dorchester,02125-3303,(617) 288-7120,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2000-07-21,57,7.0,9.0,9.0,,32.0,,,,,,True,,Low,2026-03-03,"1135 DORCHESTER AVE, Dorchester, MA 02125-3303",42.311967253467,-71.057508608881,True,False,False,True,True,False,Pre-K only,M
P-171001,Pine Village Preschool,Pine Village Preschool - Current,120 ANTWERP STREET,,Brighton,02135,(857) 210-9055,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2001-08-31,58,,,18.0,,40.0,,,,,,True,,Low,2026-03-03,"120 ANTWERP STREET, Brighton, MA 02135",42.36199584321,-71.138644644285,True,False,False,True,True,False,Pre-K only,M
P-171007,Dorchester Preschool,"Neponset Child Care Center, Inc.",281A NEPONSET AVENUE,,Dorchester,02122,(617) 265-2665,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2003-05-27,29,,,9.0,,20.0,,,,,,True,,Moderate,2026-03-03,"281A NEPONSET AVENUE, Dorchester, MA 02122",42.289410505552,-71.047999852173,True,False,False,True,True,False,Pre-K only,S
P-171011,Paige Academy,Paige Academy Inc.,28 HIGHLAND AVENUE,,Roxbury,02119,(617) 442-5419,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2002-08-20,115,14.0,,,18.0,50.0,,8.0,,25.0,,True,,Low,2026-03-03,"28 HIGHLAND AVENUE, Roxbury, MA 02119",42.328667346491,-71.092770864089,True,True,True,True,True,False,Elementary and Middle,L
P-171020,Children's Services of Roxbury Early Care & Education Center,"Children's Services of Roxbury, Inc.",520 DUDLEY STREET,,Roxbury,02119,(617) 989-9617,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2003-02-04,103,10.0,9.0,36.0,18.0,30.0,,,,,,True,,Very Low,2026-03-03,"520 DUDLEY STREET, Roxbury, MA 02119",42.322246324144,-71.07251476978,True,False,False,True,True,False,Pre-K only,L
P-171021,Au Co Preschool,"Vietnamese American Initiative for Development, Inc",42 CHARLES STREET,,Dorchester,02122,(617) 822-3717,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2002-11-15,49,,,,,49.0,,,,,,True,,Very Low,2026-03-03,"42 CHARLES STREET, Dorchester, MA 02122",42.300140037353,-71.063187660313,True,False,False,False,True,False,Pre-K only,M
P-171032,Parker Hill/ Fenway Head Start,"Action For Boston Community Development, Inc./ABCD",716 PARKER STREET,,Roxbury,02120,(617) 427-0464,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2003-02-24,76,,8.0,,,68.0,,,,,,True,,Low,2026-03-03,"716 PARKER STREET, Roxbury, MA 02120",42.331094860464,-71.097376873857,True,False,False,True,True,False,Pre-K only,M
P-171176,Vine St. Community Centers - SACC Program,"Vine Street Community Council, Inc",339 DUDLEY STREET,,Roxbury,02119,(617) 635-1286,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2019-01-29,99,,,,,,,,,99.0,,True,,Very Low,2026-03-03,"339 DUDLEY STREET, Roxbury, MA 02119",42.327036389689,-71.076626909175,False,True,True,True,True,False,Elementary and Middle,L
P-171183,Boys and Girls Clubs of Boston at South Boston,Boys and Girls Club of Boston,230 WEST SIXTH STREET,,South Boston,02127,(617) 516-5441,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1989-02-13,43,,,,,,,,,43.0,,True,,Very High,2026-03-03,"230 WEST SIXTH STREET, South Boston, MA 02127",42.334879966832,-71.049926480449,False,True,True,False,True,False,Elementary and Middle,M
P-171184,South Boston Neighborhood House,South Boston Neighborhood House Inc,136 H STREET,,South Boston,02127,(617) 268-1619,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1998-04-14,61,,,,9.0,,,,,52.0,,True,,High,2026-03-03,"136 H STREET, South Boston, MA 02127",42.333071477431,-71.04140199708,True,True,True,True,True,False,Elementary and Middle,M
P-171189,RTH Afterschool Program,"Roxbury Tenants of Harvard Association, Inc.",835 Huntington Ave (REAR),,Boston,02115,(617) 232-4306,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1998-03-19,52,,,,,,,,,52.0,,False,,Very Low,2026-03-03,"835 Huntington Ave (REAR), Boston, MA 02115",42.333289994681,-71.109203288746,False,True,True,True,False,False,Elementary and Middle,M
P-171190,Red Oak After School Program,Boston Chinatown Neighborhood Center,38 Ash Street,,Boston,02111,(617) 249-2995,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1989-07-03,99,,,,,,,,,99.0,,True,,Low,2026-03-03,"38 Ash Street, Boston, MA 02111",42.348694709374,-71.063415575337,False,True,True,False,True,False,Elementary and Middle,L
P-171191,Boys & Girls Club of Boston @ Charlestown Club,Boys and Girls Club of Boston,15 GREEN STREET,,Charlestown,02129,(617) 516-5519,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1989-04-02,39,,,,,,,,,39.0,,True,,High,2026-03-03,"15 GREEN STREET, Charlestown, MA 02129",42.376337480281,-71.063730957322,False,True,True,True,True,False,Elementary and Middle,S
P-171216,Boys and Girls Clubs @ Yawkey Club,Boys and Girls Club of Boston,115 WARREN STREET,,Roxbury,02119,(617) 835-3556,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1996-08-14,52,,,,,,,,,52.0,,True,,Very Low,2026-03-03,"115 WARREN STREET, Roxbury, MA 02119",42.327065843968,-71.083375322138,False,True,True,False,True,False,Elementary and Middle,M
P-171217,UCCC @ Bird Street Youth Center,Uphams Corner Community Recreation Center,500 COLUMBIA RD,,Dorchester,02125-2322,(857) 453-9983,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1996-07-15,33,,,,,,,,,33.0,,True,,Very Low,2026-03-03,"500 COLUMBIA RD, Dorchester, MA 02125-2322",42.314685004741,-71.067459633066,False,True,True,False,True,False,Elementary and Middle,S
P-171241,Ellis Education Center,"Ellis Memorial and Eldredge House, Inc.",66 Berkeley Street,,Boston,02116,(617) 377-4484,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1998-04-23,71,14.0,,18.0,,39.0,,,,,,True,,Very High,2026-03-03,"66 Berkeley Street, Boston, MA 02116",42.346717985662,-71.070920506129,True,False,False,True,True,False,Pre-K only,M
P-171403,KIDSART!,"Jamaica Plain Multicultural After Sch. Arts Program, Inc.",6 ELIOT STREET,,Jamaica Plain,02130,(617) 524-0818,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1991-04-28,60,,,,,,,15.0,,45.0,,True,,Very High,2026-03-03,"6 ELIOT STREET, Jamaica Plain, MA 02130",42.310486497162,-71.116411584766,False,True,True,False,True,False,Elementary and Middle,M
P-171420,YMCA of Greater Boston @ the Lyndon K8 School,YMCA of Greater Boston,20 MOUNT VERNON STREET,,West Roxbury,02132,(857) 208-6356,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-09-06,98,,,,,20.0,,,,78.0,,True,,High,2026-03-03,"20 MOUNT VERNON STREET, West Roxbury, MA 02132",42.282926014942,-71.157638285676,True,True,True,True,True,False,Elementary and Middle,L
P-171450,YMCA of Greater Boston@ the Gardner Pilot Academy,YMCA of Greater Boston,30 ATHOL STREET,,Allston,02134,(857) 205-5632,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1997-04-04,137,,,,,20.0,,,,117.0,,True,,High,2026-03-03,"30 ATHOL STREET, Allston, MA 02134",42.360890598539,-71.134309320688,True,True,True,True,True,False,Elementary and Middle,L
P-171461,YMCA of Greater Boston @ the Kilmer K-8 School,YMCA of Greater Boston,35 BAKER STREET,,West Roxbury,02132,(857) 276-5055,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1998-01-05,49,,,,,10.0,,,,39.0,,True,,Moderate,2026-03-03,"35 BAKER STREET, West Roxbury, MA 02132",42.27155256517,-71.162952052876,True,True,True,True,True,False,Elementary and Middle,M
P-171462,YMCA of Greater Boston @ the Winship School,YMCA of Greater Boston,54 DIGHTON STREET,,Brighton,02135,(617) 645-4509,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1998-01-20,62,,,,,10.0,,,,52.0,,True,,Moderate,2026-03-03,"54 DIGHTON STREET, Brighton, MA 02135",42.347770091557,-71.155325029499,True,True,True,True,True,False,Elementary and Middle,M
P-171469,Access Enrichment Program,"American Chinese Christian Educational & Social Services, Inc.",244 HARRISON AVENUE,,Boston,02111,(617) 426-1070,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,1998-05-22,52,,,,,,,,,52.0,,True,,Low,2026-03-03,"244 HARRISON AVENUE, Boston, MA 02111",42.347708325622,-71.062630080149,False,True,True,True,True,False,Elementary and Middle,M
P-171708,Swift Waters After School Programs,Little Folks Community Day Care Center Inc.,172 Saratoga St,,East Boston,02128,(617) 567-5076,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1999-09-08,29,,,,,,,,,29.0,,True,,Very Low,2026-03-03,"172 Saratoga St, East Boston, MA 02128",42.377280953106,-71.034737309955,False,True,True,False,True,False,Elementary and Middle,S
P-171711,YMCA Of Greater Boston @ the McKay K-8 School,YMCA of Greater Boston,122 COTTAGE STREET,,East Boston,02128,(857) 972-2896,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,1999-09-08,26,,,,,,,,,26.0,,True,,Low,2026-03-03,"122 COTTAGE STREET, East Boston, MA 02128",42.368644237782,-71.034454032761,False,True,True,False,True,False,Elementary and Middle,S
P-171715,South End After School Program,Salvation Army - Canton,1500 Washington Street,,Boston,02118-2015,(617) 536-5260,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2000-01-24,52,,,,,,,,,52.0,,True,,Low,2026-03-03,"1500 Washington Street, Boston, MA 02118-2015",42.339978472999,-71.071832010546,False,True,True,True,True,False,Elementary and Middle,M
P-171725,YMCA of Greater Boston at the Adams Elementary School,YMCA of Greater Boston,165 Webster Street,,Boston,02128,(857) 972-2896,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2000-09-06,26,,,,,,,,,26.0,,True,,Low,2026-03-03,"165 Webster Street, Boston, MA 02128",42.365693039034,-71.034841895014,False,True,True,True,True,False,Elementary and Middle,S
P-171756,Hennigan After School Tutoring Program,Jamaica Plain Community Center Inc.,200 HEATH STREET,,Jamaica Plain,02130,(617) 635-5198,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2004-01-15,52,,,,,,,,,52.0,,True,,High,2026-03-03,"200 HEATH STREET, Jamaica Plain, MA 02130",42.326500059638,-71.106659711566,False,True,True,False,True,False,Elementary and Middle,M
P-177055,Roslindale Community School Council After School,"Roslindale Community Center Council, Inc.",6 Cummins Highway,,Roslindale,02131,(617) 635-5185,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-12-02,26,,,,,,,,,26.0,,True,,Low,2026-03-03,"6 Cummins Highway, Roslindale, MA 02131",42.286347766557,-71.127855221874,False,True,True,True,True,False,Elementary and Middle,S
P-177140,Bright Horizons @ Seaport,"Bright Horizons Childrenâs Centers, LLC",30 WORLD TRADE CENTER AVE,,Boston,02210,(617) 946-0682,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2003-10-15,54,7.0,9.0,9.0,9.0,20.0,,,,,,True,,High,2026-03-03,"30 WORLD TRADE CENTER AVE, Boston, MA 02210",42.349381953962,-71.042178804798,True,False,False,True,True,False,Pre-K only,M
P-177158,East Boston Head Start,"Action For Boston Community Development, Inc./ABCD",120 CONDOR ST # 130,,East Boston,02128-,(617) 567-8855,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2004-10-21,68,,40.0,,8.0,20.0,,,,,,True,,Very Low,2026-03-03,"120 CONDOR ST # 130, East Boston, MA 02128-",42.382654243022,-71.037403511168,True,False,False,True,True,False,Pre-K only,M
P-177179,"Little Voices Early Care and Education, Inc.","Little Voices Early and Education, Inc",104 NEEDHAM ROAD,,Hyde Park,02136,(617) 361-5555,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2007-10-02,35,7.0,9.0,9.0,,10.0,,,,,,True,,Low,2026-03-03,"104 NEEDHAM ROAD, Hyde Park, MA 02136",42.242492733807,-71.123158517057,True,False,False,True,True,False,Pre-K only,S
P-177181,Wee Care JP,Wee Care J.P Corp,305 LAMARTINE ST,,Jamaica Plain,02130-2235,(617) 522-7901,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2004-12-20,36,,,9.0,13.0,14.0,,,,,,True,,High,2026-03-03,"305 LAMARTINE ST, Jamaica Plain, MA 02130-2235",42.312721619816,-71.108060977584,True,False,False,True,True,False,Pre-K only,S
P-177182,Sunny Bear Academy,Sunny Bear Toddler Playcare Program,177 GREEN ST,,Jamaica Plain,02130,(617) 469-3977,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2005-01-13,48,17.0,,13.0,,,18.0,,,,,True,,Low,2026-03-03,"177 GREEN ST, Jamaica Plain, MA 02130",42.310068883432,-71.106217063488,True,True,False,True,True,False,Pre-K and Elementary,M
P-177183,The Mosaic School,"The Mosaic School, Inc",3859 WASHINGTON STEET,,Roslindale,02131,(617) 524-1155,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2005-01-31,76,,,,36.0,40.0,,,,,,False,,Very Low,2026-03-03,"3859 WASHINGTON STEET, Roslindale, MA 02131",42.296290375621,-71.117770431845,True,False,False,False,False,False,Pre-K only,M
P-177231,Excel Academy Inc.,"Excel Academy, Inc.",1105 BLUE HILL AVENUE,,Dorchester,02124,(617) 282-9100,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2006-11-09,71,10.0,9.0,9.0,,30.0,,,,13.0,,True,,Very Low,2026-03-03,"1105 BLUE HILL AVENUE, Dorchester, MA 02124",42.286814124035,-71.090770578466,True,True,True,False,True,False,Elementary and Middle,M
P-177327,Sunrise Learning Academy LLC,Sunrise Learning Academy LLC,131 CAMBRIDGE STREET,,Boston,02114,(617) 227-6402,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2007-10-02,66,14.0,16.0,9.0,9.0,18.0,,,,,,True,,Very High,2026-03-03,"131 CAMBRIDGE STREET, Boston, MA 02114",42.361252040579,-71.066135894776,True,False,False,True,True,False,Pre-K only,M
P-177343,Good Shepherd Preschool,Good Shepherd School,20 Winthrop Street,,Charlestown,02129-3609,(617) 242-8800,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-10-28,75,,,,9.0,66.0,,,,,,True,,High,2026-03-03,"20 Winthrop Street, Charlestown, MA 02129-3609",42.373837792886,-71.061505277361,True,False,False,True,True,False,Pre-K only,M
P-177385,Bright Horizons Family Solution @ Beacon Hill,"Bright Horizons Childrenâs Centers, LLC",100 CAMBRIDGE ST STE 104,,Boston,02114-2532,(617) 843-3670,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2007-07-02,113,28.0,,45.0,,20.0,20.0,,,,,True,,Moderate,2026-03-03,"100 CAMBRIDGE ST STE 104, Boston, MA 02114-2532",42.360988608209,-71.061575816465,True,True,False,True,True,False,Pre-K and Elementary,L
P-177391,Lighthouse Early Learning Center,Arabic Evangelical Baptist Church,222 SPRING STREET,,West Roxbury,02132,(617) 588-1288,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2007-12-04,64,21.0,,24.0,9.0,10.0,,,,,,True,,Moderate,2026-03-03,"222 SPRING STREET, West Roxbury, MA 02132",42.274289678214,-71.169080052528,True,False,False,False,True,False,Pre-K only,M
P-177392,Charlestown Cooperative Nursery School,"Charlestown Cooperative Nursery School, Inc.",124 MAIN ST,,Charlestown,02129,(617) 242-5159,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2007-09-10,54,,,18.0,,36.0,,,,,,False,,High,2026-03-03,"124 MAIN ST, Charlestown, MA 02129",42.374499779165,-71.06378278758,True,False,False,True,False,False,Pre-K only,M
P-177393,Sunshine Childcare I,"Sunshine Learning and Care, Inc",236 HARRISON AVENUE,,Boston,02111,(617) 426-3083,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2007-09-28,29,,,,9.0,20.0,,,,,,True,,Low,2026-03-03,"236 HARRISON AVENUE, Boston, MA 02111",42.347772575799,-71.062602974605,True,False,False,False,True,False,Pre-K only,S
P-177456,Pine Village c/o St.John's Episcopal Church,Pine Village Preschool - Current,One Roanoke Avenue,,Jamaica Plain,02130-2817,(857) 998-0397,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2008-10-21,46,,,26.0,,20.0,,,,,,True,,High,2026-03-03,"One Roanoke Avenue, Jamaica Plain, MA 02130-2817",42.310269605546,-71.110411376901,True,False,False,True,True,False,Pre-K only,M
P-177495,Pine Village Preschool,Pine Village Preschool - Current,700 HARRISON AVE,,Boston,02118-2631,(617) 294-5542,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-09-08,45,,,18.0,,27.0,,,,,,True,,Low,2026-03-03,"700 HARRISON AVE, Boston, MA 02118-2631",42.338700390381,-71.07036181158,True,False,False,True,True,False,Pre-K only,M
P-177509,Buds and Blossoms Early Education and Care Center,Asian American Civic Association,87 TYLER STREET,,Boston,02111,(617) 426-9492,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-12-29,57,11.0,17.0,,9.0,20.0,,,,,,True,,Low,2026-03-03,"87 TYLER STREET, Boston, MA 02111",42.348897707008,-71.061540123253,True,False,False,True,True,False,Pre-K only,M
P-177510,YMCA of Greater Boston At the Boston Teachers Union School,YMCA of Greater Boston,25 Walk Hill Street,,Jamaica Plain,02130,(617) 631-4615,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-10-19,36,,,,,,10.0,,,26.0,,True,,Moderate,2026-03-03,"25 Walk Hill Street, Jamaica Plain, MA 02130",42.294588914621,-71.115474395512,True,True,True,True,True,False,Elementary and Middle,S
P-177593,A Child's View,Day Care Consulants  Inc.,56 PLEASANT STREET,,Dorchester,02125,(617) 929-3658,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2009-08-27,100,14.0,9.0,27.0,,50.0,,,,,,True,,Low,2026-03-03,"56 PLEASANT STREET, Dorchester, MA 02125",42.314934009906,-71.059869616183,True,False,False,False,True,False,Pre-K only,L
P-177600,Kids Club Childcare and Preschool Center Inc,Kids Club,1208 VFW PARKWAY,,West Roxbury,02132,(617) 363-0090,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2009-10-08,57,10.0,18.0,,9.0,20.0,,,,,,True,,Moderate,2026-03-03,"1208 VFW PARKWAY, West Roxbury, MA 02132",42.279402498857,-71.171129494578,True,False,False,False,True,False,Pre-K only,M
P-177728,YMCA of Greater Boston at the Winthrop Elementary School,YMCA of Greater Boston,35 BROOKFORD STREET,,Dorchester,02125,(617) 835-0893,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2006-09-11,52,,,,,,,,,52.0,,True,,Very Low,2026-03-03,"35 BROOKFORD STREET, Dorchester, MA 02125",42.31836695477,-71.075408917841,False,True,True,True,True,False,Elementary and Middle,M
P-177801,Twelfth Baptist Church After School Program,S.A.M.H.  Corporation,150 WARREN STREET,,Roxbury,02119,(617) 427-5158,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2004-09-17,26,,,,,,,,,26.0,,True,,Very Low,2026-03-03,"150 WARREN STREET, Roxbury, MA 02119",42.325618664086,-71.083197315345,False,True,True,True,True,False,Elementary and Middle,S
P-177874,Roslindale Learning Academy,Roslindale Learning Academy,6 Basile St,,Roslindale,02131-2502,(617) 942-8258,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-02-21,48,13.0,9.0,,8.0,,18.0,,,,,True,,Low,2026-03-03,"6 Basile St, Roslindale, MA 02131-2502",42.287074420039,-71.127208030722,True,True,False,True,True,False,Pre-K and Elementary,M
P-177896,YMCA of Greater Boston @ the Bates Elementary School,YMCA of Greater Boston,426 BEECH STREET,,Roslindale,02131,(617) 512-5640,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-08-26,52,,,,,,,,,52.0,,True,,Low,2026-03-03,"426 BEECH STREET, Roslindale, MA 02131",42.277118640039,-71.135011794244,False,True,True,True,True,False,Elementary and Middle,M
P-177974,YMCA of Greater Boston at the Thomas M. Menino Y OST,YMCA of Greater Boston,1137 RIVER STREET,,Hyde Park,02136,(617) 631-4615,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-09-09,99,,,,,8.0,,,,91.0,,True,,Very Low,2026-03-03,"1137 RIVER STREET, Hyde Park, MA 02136",42.257481033209,-71.119791603884,True,True,True,True,True,False,Elementary and Middle,L
P-178004,Square Roots,"Castle Square Tenants Organization,Inc",460 TREMONT STREET #3,,Boston,02116,(617) 482-4605,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2008-09-26,52,,,,,,,,,52.0,,True,,Low,2026-03-03,"460 TREMONT STREET #3, Boston, MA 02116",42.346243798606,-71.069226799078,False,True,True,False,True,False,Elementary and Middle,M
P-178042,YMCA of Greater Boston At the King K-8 School,YMCA of Greater Boston,77 LAWRENCE AVENUE,,Dorchester,02121,(857) 972-2896,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-09-28,65,,,,,,,,,65.0,,True,,Very Low,2026-03-03,"77 LAWRENCE AVENUE, Dorchester, MA 02121",42.31139641437,-71.075996818797,False,True,True,True,True,False,Elementary and Middle,M
P-178043,Bird Street Cmty Ctr. ASP@ Higginson-Lewis K2-8 Before and After School Program,Uphams Corner Community Recreation Center,131 WALNUT AVENUE,,Roxbury,02119,(617) 282-6110,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2009-10-14,39,,,,,,,,,39.0,,True,,Very Low,2026-03-03,"131 WALNUT AVENUE, Roxbury, MA 02119",42.321478022752,-71.085643804905,False,True,True,False,True,False,Elementary and Middle,S
P-182795,YMCA OF GREATER BOSTON @ MENDELL ELEMENTARY SCHOOL,YMCA of Greater Boston,164 SCHOOL ST,,Roxbury,02119,(781) 223-4367,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2010-09-02,49,,,,,,10.0,,,39.0,,True,,Moderate,2026-03-03,"164 SCHOOL ST, Roxbury, MA 02119",42.316731365728,-71.101286247125,True,True,True,True,True,False,Elementary and Middle,M
P-182803,Bright Horizons at Berkeley,"Bright Horizons Childrenâs Centers, LLC",190 - 200 BERKELEY STREET,210 Berkeley Street,Boston,02116,(617) 536-1035,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2010-09-03,104,28.0,9.0,27.0,,20.0,20.0,,,,,True,,High,2026-03-03,"190 - 200 BERKELEY STREET, Boston, MA 02116",42.350266774722,-71.072671952175,True,True,False,True,True,False,Pre-K and Elementary,L
