PROVIDER_NUMBER,PROGRAM_NAME,PROGRAM_UMBRELLA,PROGRAM_STREET_ADDRESS1,PROGRAM_STREET_ADDRESS2,PROGRAM_CITY,PROGRAM_ZIPCODE,PROGRAM_PHONE,LICENSING_REGION,SUBSIDY_REGION,PROGRAM_TYPE,LICENSED_FUNDED,LICENSED_PROVIDER_STATUS,FUNDED_PROVIDER_STATUS,REGULATORY_STATUS,FIRST_ISSUED_DATE,LICENSED_CAPACITY,INFANT_BIRTH15MO,INFANTTODDLER_BIRTH33MO,TODDLER_15MO33MO,TODDLERPRESCHOOL_15MOK,PRESCHOOL_33MOK,PRESCHOOLSA_33MO8YR,KINDERGARTEN,KINDERGARTEN_SCHOOLAGE,SCHOOLAGE_5YR14YR,MULTIAGEGROUP_BIRTH14YR,VOUCHER_CONTRACT,C3_ATTESTATION,COI_CAT,SNAPSHOT_DATE,FULL_ADDRESS,Latitude,Longitude,SERVES_PREK,SERVES_ELEM,SERVES_MIDDLE,QUALITY_LICENSED,QUALITY_VOUCHER,QUALITY_C3,BAND_LABEL,CAP_CAT
P-252621,Above & Beyond SACC @ Hansborough Street,Brookview House,35 Hansborough Street,,Dorchester,02124,(617) 265-2965,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-06-28,30,,,,,,,,,30.0,,True,,Very Low,2026-03-03,"35 Hansborough Street, Dorchester, MA 02124",42.288107531058,-71.09114673447,False,True,True,False,True,False,Elementary and Middle,S
P-252725,Boston's Bridge to Excellence @ Blackstone Elementary School,Boston's Bridge to Excellence Inc.,380 Shawmut Avenue,,Boston,02118,(857) 212-6238,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-10-06,72,,,,,20.0,,,,52.0,,True,,Low,2026-03-03,"380 Shawmut Avenue, Boston, MA 02118",42.341202455857,-71.072083648901,True,True,True,False,True,False,Elementary and Middle,M
P-253475,Kiddies Corner,Kiddies Corner,858 Morton Street,,Mattapan,02126,(617) 514-3581,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2023-11-03,21,5.0,7.0,,,,9.0,,,,,True,,Very Low,2026-03-03,"858 Morton Street, Mattapan, MA 02126",42.281207881076,-71.085878981401,True,True,False,False,True,False,Pre-K and Elementary,S
P-253690,Blooming Stars Education Center,Blooming Stars Education Center,470 Washington Street,,Brighton,02135,(857) 540-1392,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-08-26,62,7.0,,16.0,9.0,30.0,,,,,,False,,Moderate,2026-03-03,"470 Washington Street, Brighton, MA 02135",42.348854111022,-71.159228199631,True,False,False,True,False,False,Pre-K only,M
P-253703,YMCA of Greater Boston at the Charlesview Community Center,YMCA of Greater Boston,123 Antwerp Street,,Allston,02134,(857) 205-5632,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2020-09-21,62,,,,,,,10.0,,52.0,,True,,Low,2026-03-03,"123 Antwerp Street, Allston, MA 02134",42.361949708486,-71.138502684745,False,True,True,True,True,False,Elementary and Middle,M
P-253704,YMCA of Greater Boston @ Huntington Ave.,YMCA of Greater Boston,316 Huntington Ave,,Boston,02115,(781) 223-4367,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2020-09-21,62,,,,,,10.0,,,52.0,,True,,Very Low,2026-03-03,"316 Huntington Ave, Boston, MA 02115",42.340476171927,-71.088264148275,True,True,True,True,True,False,Elementary and Middle,M
P-254265,Horizons,Horizons for Homeless Children,1785 Columbus Ave,,Roxbury,02119,(617) 553-5439,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-04-20,298,21.0,72.0,,45.0,160.0,,,,,,True,,Very Low,2026-03-03,"1785 Columbus Ave, Roxbury, MA 02119",42.320072932922,-71.098499708874,True,False,False,True,True,False,Pre-K only,XL
P-254292,Discover Me School House,Discover Me School House,2070 Centre Street,,West Roxbury,02132,(617) 712-1109,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-06-25,20,7.0,,4.0,9.0,,,,,,,True,,High,2026-03-03,"2070 Centre Street, West Roxbury, MA 02132",42.279679570271,-71.158676690045,True,False,False,False,True,False,Pre-K only,S
P-254418,Nazzaro Center Youth Program,Nazzaro Center Youth Program,30 North Bennet Street,,Boston,02113,(617) 635-5166,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2023-09-20,26,,,,,,,,,26.0,,False,,High,2026-03-03,"30 North Bennet Street, Boston, MA 02113",42.365388701829,-71.054414226491,False,True,True,True,False,False,Elementary and Middle,S
P-254546,OLPH Mission Grammar 1,Archdiocese of Boston Schools,1545 Tremont St,,Roxbury,02120,(617) 442-2660,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-09-12,84,7.0,9.0,9.0,9.0,50.0,,,,,,True,,Very Low,2026-03-03,"1545 Tremont St, Roxbury, MA 02120",42.332722510311,-71.100511713562,True,False,False,True,True,False,Pre-K only,L
P-255019,Sportsmen's Tennis & Enrichment Center,Sportsmen's Tennis & Enrichment Center,950 Blue Hill Ave,,Dorchester,02124,(617) 288-9092,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-05-12,52,,,,,,,,,52.0,,True,,Very Low,2026-03-03,"950 Blue Hill Ave, Dorchester, MA 02124",42.29117564241,-71.088975660949,False,True,True,True,True,False,Elementary and Middle,M
P-255263,BBTE @ Holmes Innovation School,Boston's Bridge to Excellence Inc.,40 School Street,,Dorchester,02124,(857) 212-6238,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-12-14,46,,,,,20.0,,,,26.0,,True,,Very Low,2026-03-03,"40 School Street, Dorchester, MA 02124",42.296806869213,-71.075326401908,True,True,True,False,True,False,Elementary and Middle,M
P-255264,KCE-Champions LLC @ St Theresa of Avila,"KinderCare Education, LLC",40 St Theresa Ave,,West Roxbury,02132,(508) 530-1928,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-06-14,39,,,,,,,,,39.0,,True,,High,2026-03-03,"40 St Theresa Ave, West Roxbury, MA 02132",42.277798775103,-71.157913508173,False,True,True,False,True,False,Elementary and Middle,S
P-255383,MGH Backup Child Care Center,"Bright Horizons Childrenâs Centers, LLC",55 Fruit Street,Warren Lobby Suite 130,Boston,02124,(617) 724-8414,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-07-19,39,,9.0,,,10.0,20.0,,,,,False,,Very High,2026-03-03,"55 Fruit Street, Boston, MA 02124",42.362486002768,-71.069834275504,True,True,False,True,False,False,Pre-K and Elementary,S
P-255385,MGH Childrenâs Center,"Bright Horizons Childrenâs Centers, LLC",3 13th Street,Captains Quarters,Charlestown,02129,(617) 724-9750,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-07-19,63,14.0,,27.0,,22.0,,,,,,True,,Moderate,2026-03-03,"3 13th Street, Charlestown, MA 02129",42.377659206264,-71.05159882625,True,False,False,True,True,False,Pre-K only,M
P-255389,The Childrenâs Quarters,"Bright Horizons Childrenâs Centers, LLC",36 First Avenue,Charlestown Navy Yard,Charlestown,02129,(617) 726-6010,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-07-19,36,7.0,9.0,,,20.0,,,,,,True,,Moderate,2026-03-03,"36 First Avenue, Charlestown, MA 02129",42.374989581946,-71.054206816753,True,False,False,True,True,False,Pre-K only,S
P-255406,Ellis Early Learning,"Ellis Memorial and Eldredge House, Inc.",555 Amory Street,,Jamaica Plain,02130,(857) 719-0401,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2021-09-21,59,14.0,9.0,8.0,9.0,19.0,,,,,,True,,Low,2026-03-03,"555 Amory Street, Jamaica Plain, MA 02130",42.308409148305,-71.108491714657,True,False,False,False,True,False,Pre-K only,M
P-255632,"Roxbury Roots Montessori, Inc",Roxbury Roots Montessori Inc,2565 Washington Street,,Roxbury,02119,(857) 302-9557,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2021-10-21,24,,,,,19.0,,5.0,,,,True,,Low,2026-03-03,"2565 Washington Street, Roxbury, MA 02119",42.326253581579,-71.087746023486,True,True,False,True,True,False,Pre-K and Elementary,S
P-256038,Little Voices Early Care and Education @ Kipp Academy,"Little Voices Early and Education, Inc",37 Babson Street,,Mattapan,02126,(617) 953-8029,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-01-10,103,3.0,5.0,,9.0,,,,,86.0,,True,,Very Low,2026-03-03,"37 Babson Street, Mattapan, MA 02126",42.27530967385,-71.09238634993,True,True,True,True,True,False,Elementary and Middle,L
P-256106,YMCA of Greater Boston @ Conservatory Lab - Upper,YMCA of Greater Boston,395 Columbia Road,,Dorchester,02127,(781) 223-4367,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-07-18,52,,,,,,,,,52.0,,True,,Very Low,2026-03-03,"395 Columbia Road, Dorchester, MA 02127",42.311147520962,-71.070125118922,False,True,True,True,True,False,Elementary and Middle,M
P-256660,Prime Time Extended Learning Services @ Murphy School,Prime Time Extended Learning Services,1 Worrell St,,Dorchester,02122,(617) 571-7167,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2022-05-31,66,,,,,,,,,66.0,,True,,Low,2026-03-03,"1 Worrell St, Dorchester, MA 02122",42.293787968915,-71.049334461125,False,True,True,False,True,False,Elementary and Middle,M
P-257058,Hodan Nursery,Hodan Nursery,225 Centre Street,,Boston,02119,(617) 606-2270,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-03-21,38,7.0,8.0,,9.0,14.0,,,,,,True,,Very Low,2026-03-03,"225 Centre Street, Boston, MA 02119",42.322692668361,-71.098697594788,True,False,False,True,True,False,Pre-K only,S
P-257135,Boston Renaissance Charter School Daycare,Boston Renaissance Charter School,1415 Hyde Park Ave,,Hyde Park,02136,(617) 357-0900,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-06-10,34,7.0,,9.0,,18.0,,,,,,True,,Very Low,2026-03-03,"1415 Hyde Park Ave, Hyde Park, MA 02136",42.250383839429,-71.126143805741,True,False,False,True,True,False,Pre-K only,S
P-257312,Childrenâs Happy Day School,Children's Happy Day Preschool and Learning Center,5 Charles Park Road,,West Roxbury,02132,617-325-0606,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-04-26,76,,,,18.0,,58.0,,,,,True,,Moderate,2026-03-03,"5 Charles Park Road, West Roxbury, MA 02132",42.278941066209,-71.175488288093,True,True,False,True,True,False,Pre-K and Elementary,M
P-257539,Torah Academy Preschool,Torah Academy Inc.,198 Strathmore Road,,Brighton,02135,(617) 731-3196,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-06-21,29,,,,,29.0,,,,,,True,,Moderate,2026-03-03,"198 Strathmore Road, Brighton, MA 02135",42.339998470349,-71.154120387996,True,False,False,True,True,False,Pre-K only,S
P-257544,Saint John Paul II Catholic Academy Columbia,Archdiocese of Boston Schools,790 Columbia Road,,Dorchester,02125,(617) 265-0019,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2023-05-16,139,,,14.0,,85.0,,40.0,,,,False,,Low,2026-03-03,"790 Columbia Road, Dorchester, MA 02125",42.320193220368,-71.058275531148,True,True,False,True,False,False,Pre-K and Elementary,L
P-257601,Guidepost Montessori at Downtown Boston,HGE FIC L LLC,"47 Province Street, Unit  5-45",,Boston,02108,(617) 681-8704,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-07-01,45,7.0,,18.0,,20.0,,,,,,True,,Moderate,2026-03-03,"47 Province Street, Unit  5-45, Boston, MA 02108",42.356927348166,-71.060137907355,True,False,False,True,True,False,Pre-K only,M
P-257697,Everbrook Academy #4877,"Everbrook Academy, LLC",640 Washington Street,,Brighton,02135,(617) 789-9558,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-09-28,97,21.0,9.0,18.0,9.0,40.0,,,,,,True,,Moderate,2026-03-03,"640 Washington Street, Brighton, MA 02135",42.350995770495,-71.169062604789,True,False,False,True,True,False,Pre-K only,L
P-257761,Little Panda Early Learning and Care Center,Mass Pike Center,318-342 Tremont Street,suite 332 and suite 322,Boston,02116,(401) 998-9099,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-04-25,54,7.0,9.0,9.0,,,20.0,,,9.0,,True,,Low,2026-03-03,"318-342 Tremont Street, Boston, MA 02116",42.348598074654,-71.065895120602,True,True,True,True,True,False,Elementary and Middle,M
P-257766,Children's Express at the Carolyn Lynch Children's Center,"Children's Express Child Care, Inc.",90 Cushing Ave,,Dorchester,02125,(617) 506-8542,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-07-27,60,14.0,9.0,,9.0,,28.0,,,,,True,,Low,2026-03-03,"90 Cushing Ave, Dorchester, MA 02125",42.313836287473,-71.063482030266,True,True,False,True,True,False,Pre-K and Elementary,M
P-257768,Fiorâs Little Garden,Fiorâs Little Garden,17 Corinth St,,Roslindale,02131,(617) 390-5163,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2023-03-24,28,5.0,,16.0,,7.0,,,,,,True,,Low,2026-03-03,"17 Corinth St, Roslindale, MA 02131",42.286367456811,-71.130193581591,True,False,False,True,True,False,Pre-K only,S
P-258083,KCE Champions @ Eliot Intermediate,"KinderCare Education, LLC",173 Salem Street,,Boston,02113,(617) 659-5307,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-09-02,72,,,,,,,,,72.0,,True,,High,2026-03-03,"173 Salem Street, Boston, MA 02113",42.366178767886,-71.054779720925,False,True,True,True,True,False,Elementary and Middle,M
P-258287,YGB@ Dudley Street Neighborhood Charter School,YMCA of Greater Boston,6 Shirley Street,,Roxbury,02119,(781) 223-4367,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-09-02,62,,,,,,10.0,,,52.0,,True,,Very Low,2026-03-03,"6 Shirley Street, Roxbury, MA 02119",42.32325257687,-71.073179687631,True,True,True,True,True,False,Elementary and Middle,M
P-258428,YGB@ Tierney Learning Center,YMCA of Greater Boston,125 Mercer St,,South Boston,02127,(617) 835-0893,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-06-28,52,,,,,,,,,52.0,,True,,Low,2026-03-03,"125 Mercer St, South Boston, MA 02127",42.330595103908,-71.050152816464,False,True,True,True,True,False,Elementary and Middle,M
P-258451,KCE Champions @ Nathan Hale,"KinderCare Education, LLC",51 Cedar St.,,Roxbury,02119,(617) 659-5307,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-09-02,59,,,,,20.0,,,,39.0,,True,,Low,2026-03-03,"51 Cedar St., Roxbury, MA 02119",42.325208978703,-71.091123974325,True,True,True,True,True,False,Elementary and Middle,M
P-258714,KCE Champions @ Lee Academy,"KinderCare Education, LLC",25 Dunbar Ave,,Dorchester,02124,(617) 659-5307,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-09-02,46,,,,,20.0,,,,26.0,,True,,Very Low,2026-03-03,"25 Dunbar Ave, Dorchester, MA 02124",42.286485636737,-71.072145357735,True,True,True,True,True,False,Elementary and Middle,M
P-259028,OLPH Mission Grammar School 2,Archdiocese of Boston Schools,94 St Alphonsus St,,Roxbury,02120,(617) 442-2660,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-09-15,60,,,,,60.0,,,,,,True,,Very Low,2026-03-03,"94 St Alphonsus St, Roxbury, MA 02120",42.334248441502,-71.100446192915,True,False,False,True,True,False,Pre-K only,M
P-259550,YMCA@ Mario Umana K-8 Academy,YMCA of Greater Boston,312 Border Street,,East Boston,02128,(857) 300-3202,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-12-20,78,,,,,,,,,78.0,,True,,Very Low,2026-03-03,"312 Border Street, East Boston, MA 02128",42.377991614653,-71.040049359332,False,True,True,True,True,False,Elementary and Middle,M
P-259573,KCE Champions @ UP Academy Holland,"KinderCare Education, LLC",85 Olney Street,,Dorchester,02124,617-659-5307,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2023-01-30,62,,,,,,10.0,,,52.0,,True,,Very Low,2026-03-03,"85 Olney Street, Dorchester, MA 02124",42.305407248475,-71.073315163226,True,True,True,False,True,False,Elementary and Middle,M
P-259881,The Infant Room,The Infant Room,20 Brookley Rd,,Boston,02130,(617) 905-0437,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2023-07-12,44,11.0,4.0,9.0,,20.0,,,,,,True,,Low,2026-03-03,"20 Brookley Rd, Boston, MA 02130",42.304318050278,-71.108136961904,True,False,False,False,True,False,Pre-K only,M
P-260040,Little Amigos Early Learning Center,Little Amigos Early Learning Center,1195 Centre St,,West Roxbury,02132,(617) 418-1100,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2023-01-03,45,7.0,9.0,,9.0,20.0,,,,,,True,,High,2026-03-03,"1195 Centre St, West Roxbury, MA 02132",42.299143955354,-71.129056537066,True,False,False,True,True,False,Pre-K only,M
P-260060,Saint Columbkille Partnership School,Archdiocese of Boston Schools,25 Arlington Street,,Brighton,02135,(617) 254-3110,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-03-04,80,,,,,80.0,,,,,,False,,Low,2026-03-03,"25 Arlington Street, Brighton, MA 02135",42.35217598491,-71.153465341752,True,False,False,True,False,False,Pre-K only,L
P-261255,Genelys Early Learning Center,Genelys Early Learning Center,2 Estrella St,,Boston,02130,(347) 972-5081,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-10-29,20,,,9.0,,11.0,,,,,,True,,Low,2026-03-03,"2 Estrella St, Boston, MA 02130",42.322866039396,-71.102783903548,True,False,False,True,True,False,Pre-K only,S
P-261336,My Little Rainbow Playhouse,Little Rainbow Learning Center,891 Hyde Park Avenue 1st floor,,Hyde Park,02136,(857) 345-9182,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2023-11-21,50,,18.0,,9.0,23.0,,,,,,True,,Low,2026-03-03,"891 Hyde Park Avenue 1st floor, Hyde Park, MA 02136",42.269554262543,-71.120887604219,True,False,False,False,True,False,Pre-K only,M
P-261715,BOPN@ Franklin Park Zoo,Boston Outdoor Preschool Network,1 Franklin Park Road,,Boston,02121,(857) 991-6849,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2023-12-28,20,,,,,,20.0,,,,,False,,Very Low,2026-03-03,"1 Franklin Park Road, Boston, MA 02121",42.30233095572,-71.087347882272,True,True,False,True,False,False,Pre-K and Elementary,S
P-261831,HernÃ¡ndez After School Program,Boston Public Schools,61 School Street,,Roxbury,02119,(617) 635-8187,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2023-10-02,178,,,,,20.0,,,,158.0,,True,,Very Low,2026-03-03,"61 School Street, Roxbury, MA 02119",42.313867726774,-71.098310779342,True,True,True,False,True,False,Elementary and Middle,XL
P-262288,Kids are People Preschool,Kids are People Elementary School,530 Commonwealth Avenue,,Boston,02215,(617) 266-0028,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2025-06-16,24,,,9.0,,,15.0,,,,,True,,Moderate,2026-03-03,"530 Commonwealth Avenue, Boston, MA 02215",42.348711628211,-71.096329524517,True,True,False,False,True,False,Pre-K and Elementary,S
P-262600,YMCA of Greater Boston @ The Edison,YMCA of Greater Boston,60 Glenmont Rd.,,Brighton,02135,(781) 439-0032,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2023-10-05,88,,,,,10.0,,,,78.0,,True,,Moderate,2026-03-03,"60 Glenmont Rd., Brighton, MA 02135",42.345842042612,-71.160148363283,True,True,True,False,True,False,Elementary and Middle,L
P-262620,Wunderkind Planet,Vugar Khudiyev,320 Washington Street. Suite 200,,Brighton,02135,(617) 620-0099,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2024-12-27,40,14.0,,17.0,9.0,,,,,,,True,,Moderate,2026-03-03,"320 Washington Street. Suite 200, Brighton, MA 02135",42.34897723309,-71.151826986415,True,False,False,False,True,False,Pre-K only,M
P-263371,Little Crafters Child Care Center,"Little Crafters, LLC",4174 Washington Street,,Roslindale,02131,(617) 938-9429,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-01-22,37,8.0,,9.0,,20.0,,,,,,True,,Low,2026-03-03,"4174 Washington Street, Roslindale, MA 02131",42.287811317242,-71.126569815066,True,False,False,True,True,False,Pre-K only,S
P-263883,YMCA of Greater Boston @ The Trotter,YMCA of Greater Boston,131 Walnut St.,,Boston,02119,617-635-8247,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-01-22,80,,,,,,,,,80.0,,True,,Moderate,2026-03-03,"131 Walnut St., Boston, MA 02119",42.321478022752,-71.085643804905,False,True,True,True,True,False,Elementary and Middle,L
P-263884,YMCA of Greater Boston @ Neighborhood House Charter School,YMCA of Greater Boston,21 Queen St Claymont Terrace,,Dorchester,02122,(857) 205-5632,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-02-12,124,,,,,,20.0,,,104.0,,True,,Low,2026-03-03,"21 Queen St Claymont Terrace, Dorchester, MA 02122",42.293892794297,-71.05326830453,True,True,True,True,True,False,Elementary and Middle,L
P-263885,YMCA of Greater Boston @ Mildred Ave,YMCA of Greater Boston,5 Mildred Ave,,Boston,02126,(857) 205-5632,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-01-22,52,,,,,,,,,52.0,,True,,Very Low,2026-03-03,"5 Mildred Ave, Boston, MA 02126",42.277732825009,-71.090826350275,False,True,True,True,True,False,Elementary and Middle,M
P-263886,YMCA of Greater Boston @ The Sarah Greenwood,YMCA of Greater Boston,186 Glenway St,,Dorchester,02121,(857) 205-5632,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-01-22,62,,,,,,,,,62.0,,True,,Very Low,2026-03-03,"186 Glenway St, Dorchester, MA 02121",42.296856674958,-71.080551752734,False,True,True,True,True,False,Elementary and Middle,M
P-264083,Holy Name Parish School,Archdiocese of Boston Schools,535 West Roxbury Parkway,,West Roxbury,02132,(617) 325-9338,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-07-25,80,,,,,80.0,,,,,,True,,High,2026-03-03,"535 West Roxbury Parkway, West Roxbury, MA 02132",42.287849778843,-71.147611580274,True,False,False,True,True,False,Pre-K only,L
P-264147,BOPN@ Arnold Arboretum,Boston Outdoor Preschool Network,125 Arborway,,Boston,02130,(857) 991-6849,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2024-07-01,69,,,,9.0,,60.0,,,,,True,,Moderate,2026-03-03,"125 Arborway, Boston, MA 02130",42.310341643738,-71.122502236073,True,True,False,False,True,False,Pre-K and Elementary,M
P-264660,Dovely,Dovely Incorporated,438 - 440 Centre Street,,Jamaica Plain,02130,(513) 600-4729,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2025-08-28,10,3.0,,,7.0,,,,,,,True,,High,2026-03-03,"438 - 440 Centre Street, Jamaica Plain, MA 02130",42.32011110147,-71.111131497369,True,False,False,False,True,False,Pre-K only,S
P-264740,Early Education at Torah Academy,Torah Academy Inc.,60 Henshaw St,,Brighton,02135,(617) 515-9319,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2025-05-19,26,,7.0,,9.0,10.0,,,,,,True,,Moderate,2026-03-03,"60 Henshaw St, Brighton, MA 02135",42.349942760144,-71.152570552734,True,False,False,True,True,False,Pre-K only,S
P-264970,The Goddard School,Charlestown Childcare LLC,"100 1st Ave, Building #39",,Charlestown,02129,(973) 715-1679,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2025-02-07,77,21.0,9.0,18.0,9.0,20.0,,,,,,True,,Moderate,2026-03-03,"100 1st Ave, Building #39, Charlestown, MA 02129",42.376504345063,-71.051744431875,True,False,False,True,True,False,Pre-K only,M
P-265690,BBTE @ Mattahunt Elementary School,Boston's Bridge to Excellence Inc.,100 Hebron St,,Mattapan,02126,(857) 212-6238,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-10-21,46,,,,,20.0,,,,26.0,,True,,Very Low,2026-03-03,"100 Hebron St, Mattapan, MA 02126",42.274565940901,-71.105695507223,True,True,True,True,True,False,Elementary and Middle,M
P-265691,BBTE @ Match Community Day School,Boston's Bridge to Excellence Inc.,100 Poydras St,,Hyde Park,02136,(857) 212-6238,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-09-03,124,,,,,20.0,,,,104.0,,True,,Low,2026-03-03,"100 Poydras St, Hyde Park, MA 02136",42.262304247306,-71.105982792256,True,True,True,True,True,False,Elementary and Middle,L
P-265774,YMCA at Match Community Day Charter,YMCA of Greater Boston,100 Poydras Street,,Hyde Park,02136,(617) 631-4615,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-09-30,142,,,,,38.0,,,,104.0,,True,,Low,2026-03-03,"100 Poydras Street, Hyde Park, MA 02136",42.262304247306,-71.105982792256,True,True,True,True,True,False,Elementary and Middle,L
P-266113,Little Steps Childcare Center,Little Steps Childcare Center,282 Bremen St,,East Boston,02128,(857) 284-9308,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2026-02-18,23,14.0,,,9.0,,,,,,,False,,Very Low,2026-03-03,"282 Bremen St, East Boston, MA 02128",42.375557895575,-71.031229266401,True,False,False,True,False,False,Pre-K only,S
P-266697,Sunkissed Acorns 2,Sunkissed Acorns,328B Tremont Street,,Boston,02116,(617) 230-6557,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2025-12-09,16,,7.0,,9.0,,,,,,,False,,Low,2026-03-03,"328B Tremont Street, Boston, MA 02116",42.348619403561,-71.066044422901,True,False,False,True,False,False,Pre-K only,S
P-266811,The Mosaic School,"The Mosaic School, Inc",1895 Centre Street,,West Roxbury,02132,(617) 524-1155,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2025-06-04,34,7.0,9.0,9.0,9.0,,,,,,,False,,High,2026-03-03,"1895 Centre Street, West Roxbury, MA 02132",42.28536868335,-71.156316670355,True,False,False,False,False,False,Pre-K only,S
P-268135,Brown Bear Excel Early Learning Center,Brown Bear Excel Early Learning Center,470 River Street,,Mattapan,02126,(617) 322-9262,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2025-06-13,33,,,,,33.0,,,,,,True,,Very Low,2026-03-03,"470 River Street, Mattapan, MA 02126",42.268890427408,-71.091841455161,True,False,False,True,True,False,Pre-K only,S
P-268399,Spanish Immersion Montessori School,Language in Motion Inc.,1481 Centre St,,West Roxbury,02132,(617) 676-7680,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2025-07-28,20,,,,8.0,12.0,,,,,,False,,High,2026-03-03,"1481 Centre St, West Roxbury, MA 02132",42.291786916678,-71.139272178959,True,False,False,False,False,False,Pre-K only,S
P-269887,Angel Academy,Angel Academy LLC,192 Chelsea Street,,East Boston,02128,(617) 418-5158,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2025-09-08,23,7.0,8.0,,,,8.0,,,,,True,,Very Low,2026-03-03,"192 Chelsea Street, East Boston, MA 02128",42.374583050911,-71.033444859414,True,True,False,False,True,False,Pre-K and Elementary,S
P-270890,Funtime Academy,Funtime Academy,9 Bowdoin St,,Dorchester,02121,(617) 407-2232,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2026-02-24,22,7.0,,,5.0,10.0,,,,,,True,,Very Low,2026-03-03,"9 Bowdoin St, Dorchester, MA 02121",42.303091384051,-71.077135201426,True,False,False,True,True,False,Pre-K only,S
